Fecha,"Pedido #",Estado,Cliente,Producto(s),"Artículos vendidos",Cupón(es),"Ingresos netos"
"2020-03-07 14:43:27",6314,ywraq-new,new,"10× Perfil Entrepiso",10,,10
"2020-03-07 14:31:44",6311,ywraq-new,new,"1× Perfiles en C (Perlines) GR50 y A36.",1,,1
"2020-03-07 03:21:58",6308,ywraq-new,new,"1× Lamina Galvanizada",1,,1
"2020-03-06 15:25:10",6304,ywraq-new,new,"1× Tubería Cerramiento Negro",1,,1
"2020-03-06 13:27:34",6301,ywraq-new,new,"20× Tubería de Cerramiento Galvanizado",20,,20
"2020-03-06 07:36:50",6298,ywraq-new,new,"1× Concertina",1,,0
"2020-03-05 17:10:52",6280,on-hold,new,"1× Lamina Galvanizada, 1× Perfiles en C (Perlines) GR50 y A36., 1× Tubería Estructural, 1× Tubería Estructural",4,,4
"2020-03-05 17:04:18",6277,on-hold,new,"20× Perfiles en C (Perlines) GR50 y A36.",20,,20
"2020-03-05 16:59:23",6274,on-hold,new,"1× Perfiles en C (Perlines) GR50 y A36.",1,,1
"2020-03-05 15:16:41",6271,on-hold,new,"1× Perfiles en C (Perlines) GR50 y A36.",1,,1
"2020-03-05 10:07:31",6268,on-hold,new,"25× Varilla Torsionada, 25× Varilla Torsionada",50,,50
"2020-03-04 20:33:08",6263,on-hold,new,"1× Malla Eslabonada",1,,1
"2020-03-04 18:21:42",6260,on-hold,new,"1× Canal Pecho Paloma",1,,1
"2020-03-04 16:08:23",6255,on-hold,new,"1× Tubería Cerramiento Negro",1,,1
"2020-03-04 15:44:04",6252,on-hold,new,"6× Tubería de Cerramiento Galvanizado",6,,6
"2020-03-04 09:19:29",6245,on-hold,new,"1× Lamina Alfajor",1,,1
"2020-03-04 08:41:46",6240,on-hold,new,"211× Tubería de Cerramiento Galvanizado",211,,211
"2020-03-03 21:15:46",6067,on-hold,new,"1× Sistema Placa Fácil",1,,0
"2020-03-03 09:50:23",6062,on-hold,new,"1× Lamina Galvanizada",1,,1
"2020-03-03 08:05:14",6059,on-hold,new,"1× Tubería Estructural",1,,1
